timestamp_utc,puuid,tier,old_lp,new_lp,lp_delta
2026-06-25T21:05:32,oY0O3Mp7qRmrqedrmorxsPruK5klJbwOHbsZ_bP7kLE6XTeDg6XARxVhd5Kcfoks36vileQ7wKGSlA,gm,664,634,-30
2026-06-25T21:05:32,ruUkphhTp_qC4QyjzF86znW-2y9ooSofwImGd6hr7Gp58IxuhO2HzVVakfBZz8ouQn1zaGh_of12hg,gm,571,542,-29
2026-06-25T21:05:32,FyGeeXMN2hTv0OhyJ9nNF3k3lcq7HzoR9CTsfWRBgsl5fp3e658JvKs-houoB4dbath0MDqA0pDAMA,gm,488,459,-29
2026-06-25T21:05:32,7tvsQfSywLbUGacZ1_Y98wqJxfYBKCrbvtJMrvnioyIIReIJl1goDTecjOFCDJEVxat2iRy8zH8-Qg,gm,340,373,33
2026-06-25T21:05:32,xELJlBhZ1Ov-Hb6K_-b49sdz_SNrJXmfo2Bb-COSyleqsY3zzky6KJXMwm-7nIdave3ekFZk8qLfOQ,gm,329,301,-28
2026-06-25T21:05:32,6GMrgwiGS59r_V_J-LUrdjirRm7ab-1pbkV0xaygAq-cZa6HzgvvEDXdjD256Szi-keASS5i_OT4Kw,master,168,199,31
2026-06-25T21:05:32,_5uIUwqlmaFYf1z7rzudFj9Kepq-ogS7Wy8foaqUTmnKTgjJVk_qczt5tgA1AhX58C0iBCpzyOBsAA,master,209,177,-32
2026-06-25T21:05:32,3Drj50RXXCBoH9YtD9J7O6bwGd9WH3WO44Ms2AiCZn_TFlvVuZfi1smERpPFjtRzReiCwj6ihcO-yw,master,201,172,-29
2026-06-25T21:05:32,HTCpW6WNHO9uvCMdKoW0P2mC_87tFSwHzVe0KiHgcD45c-zBsObzqqZmvXHgiJNEkvYUYaGfRd-g5Q,master,181,152,-29
2026-06-25T21:05:32,VrJnGTPvGgl88Y9KWP2aTxo-hTopPHDmPKozudLlp-aWAJipi6Fkd0cP9b6JGqt0Ezg-QYZql1f8MQ,master,87,117,30
2026-06-25T21:05:32,Fa44HwhfQTIIdCRgggrsInxv0iN30N7-mk1Uay779tkgPtEtPDNJaw5RKRwJkhn-X29JiAeuj2oiag,master,63,93,30
